Count Type,Pitch Type,PA_Result_Type,PA_Result_Outcome,Angle,Direction,Distance,Location
0-0 Count,Curveball,Undefined,Undefined,StrikeCalled,nan,nan,nan
0-0 Count,Curveball,Undefined,Undefined,StrikeCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,FoulBallNotFieldable,38.200174,71.170101,nan
0-0 Count,Slider,Undefined,Undefined,FoulBallNotFieldable,38.200174,71.170101,nan
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,46.457071,136.513516,nan
0-0 Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,46.457071,136.513516,nan
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,ChangeUp,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,ChangeUp,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,7.358149,165.821667,nan
0-0 Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,7.358149,165.821667,nan
0-0 Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
0-0 Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
0-0 Count,Fastball,Single,LineDrive,InPlay,11.610955,10.427969,219.476
0-0 Count,Fastball,Single,LineDrive,InPlay,11.610955,10.427969,219.476
0-0 Count,Slider,Undefined,Undefined,StrikeSwinging,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,StrikeSwinging,nan,nan,nan
0-0 Count,ChangeUp,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,ChangeUp,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,ChangeUp,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,ChangeUp,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Sinker,Undefined,Undefined,HitByPitch,nan,nan,nan
0-0 Count,Sinker,Undefined,Undefined,HitByPitch,nan,nan,nan
0-0 Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Curveball,Double,FlyBall,InPlay,25.842998,-0.749129,402.8061
0-0 Count,Curveball,Double,FlyBall,InPlay,25.842998,-0.749129,402.8061
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Cutter,Undefined,Undefined,StrikeCalled,nan,nan,nan
0-0 Count,Cutter,Undefined,Undefined,StrikeCalled,nan,nan,nan
0-0 Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,50.411522,34.245944,nan
0-0 Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,50.411522,34.245944,nan
0-0 Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan
0-0 Count,Fastball,Triple,LineDrive,InPlay,18.574014,22.504314,309.74517
0-0 Count,Fastball,Triple,LineDrive,InPlay,18.574014,22.504314,309.74517
0-0 Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
0-0 Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
0-0 Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
0-0 Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
0-0 Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
0-0 Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan
0-0 Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan
0-0 Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Fastball,Out,GroundBall,InPlay,nan,nan,nan
0-0 Count,Fastball,Out,GroundBall,InPlay,nan,nan,nan
0-0 Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan
0-0 Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Neutral Count,Sinker,Out,FlyBall,InPlay,25.479566,-14.381635,326.62236
Neutral Count,Sinker,Out,FlyBall,InPlay,25.479566,-14.381635,326.62236
Neutral Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,20.121002,63.950752,236.6583
Neutral Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,20.121002,63.950752,236.6583
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,StrikeSwinging,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,StrikeSwinging,nan,nan,nan
Neutral Count,Slider,Undefined,Undefined,StrikeSwinging,nan,nan,nan
Neutral Count,Slider,Undefined,Undefined,StrikeSwinging,nan,nan,nan
Neutral Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Slider,Undefined,Undefined,StrikeSwinging,nan,nan,nan
Neutral Count,Slider,Undefined,Undefined,StrikeSwinging,nan,nan,nan
Neutral Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan
Neutral Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan
Neutral Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Single,GroundBall,InPlay,5.253385,-4.434775,98.41474
Neutral Count,Fastball,Single,GroundBall,InPlay,5.253385,-4.434775,98.41474
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,HomeRun,FlyBall,InPlay,24.016997,24.306914,366.25133
Neutral Count,Fastball,HomeRun,FlyBall,InPlay,24.016997,24.306914,366.25133
Neutral Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Curveball,Undefined,Undefined,FoulBallNotFieldable,50.355736,146.182628,nan
Neutral Count,Curveball,Undefined,Undefined,FoulBallNotFieldable,50.355736,146.182628,nan
Neutral Count,Sinker,Undefined,Undefined,FoulBallNotFieldable,58.639839,145.652064,nan
Neutral Count,Sinker,Undefined,Undefined,FoulBallNotFieldable,58.639839,145.652064,nan
Neutral Count,Cutter,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Cutter,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Out,GroundBall,InPlay,-1.047471,24.76262,47.02909
Neutral Count,Fastball,Out,GroundBall,InPlay,-1.047471,24.76262,47.02909
Neutral Count,ChangeUp,Undefined,Undefined,StrikeCalled,nan,nan,nan
Neutral Count,ChangeUp,Undefined,Undefined,StrikeCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Sinker,HomeRun,FlyBall,InPlay,26.488065,27.29772,372.51379
Neutral Count,Sinker,HomeRun,FlyBall,InPlay,26.488065,27.29772,372.51379
Neutral Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,StrikeSwinging,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,StrikeSwinging,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Slider,Out,Popup,InPlay,42.69481,2.061732,282.2932
Neutral Count,Slider,Out,Popup,InPlay,42.69481,2.061732,282.2932
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Neutral Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Out,FlyBall,InPlay,47.145041,5.085462,170.85413
Neutral Count,Fastball,Out,FlyBall,InPlay,47.145041,5.085462,170.85413
Neutral Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Slider,Out,LineDrive,InPlay,25.113325,13.212199,341.75475
Neutral Count,Slider,Out,LineDrive,InPlay,25.113325,13.212199,341.75475
Neutral Count,Cutter,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Cutter,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Slider,Undefined,Undefined,FoulBallNotFieldable,nan,nan,nan
Neutral Count,Slider,Undefined,Undefined,FoulBallNotFieldable,nan,nan,nan
Neutral Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
