PA,PitchofPA,Batter,Strikes,Balls,KorBB,TaggedPitchType,PlayResult,Angle,Direction,Distance,PlateLocHeight,PlateLocSide,PitchCall,TaggedHitType,AVG,OBP,SLG,swing,whiff,StadiumID,2B,3B,HR,chase,OutsOnPlay,GameID,PitcherThrows,ExitSpeed,RelSpeed,is_single,is_double,is_triple,is_home_run
1.0,1,"Caulfield, Garen",0.0,0.0,Undefined,Curveball,Undefined,,,,2.40854,0.35897,StrikeCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240913-UArizona-Private-2,Right,,80.14428,False,False,False,False
,2,"Caulfield, Garen",1.0,0.0,Undefined,Fastball,Undefined,,,,1.25844,-0.16313,StrikeCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240913-UArizona-Private-2,Right,,89.46216,False,False,False,False
,3,"Caulfield, Garen",2.0,0.0,Undefined,Curveball,Out,-18.385955,-21.31345,5.33365,1.18312,-0.17887,InPlay,GroundBall,0.0,0.0,0.0,1.0,,140.0,0,0,0,1.0,1.0,20240913-UArizona-Private-2,Right,82.1617,81.69383,False,False,False,False
1.0,1,"Caulfield, Garen",0.0,0.0,Undefined,Slider,Undefined,38.200174,71.170101,,2.67013,-0.10775,FoulBallNotFieldable,Undefined,,,,,,140.0,0,0,0,,0.0,20240913-UArizona-Private-2,Right,85.76832,83.50085,False,False,False,False
,2,"Caulfield, Garen",1.0,0.0,Undefined,Fastball,Undefined,,,,2.0257,-0.2498,StrikeCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240913-UArizona-Private-2,Right,,88.64983,False,False,False,False
,3,"Caulfield, Garen",2.0,0.0,Undefined,Slider,Out,,,,1.33677,-1.17234,InPlay,GroundBall,0.0,0.0,0.0,1.0,,140.0,0,0,0,1.0,1.0,20240913-UArizona-Private-2,Right,,83.5932,False,False,False,False
1.0,1,"Caulfield, Garen",0.0,0.0,Undefined,Slider,Undefined,,,,3.10314,-1.05275,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240913-UArizona-Private-2,Right,,80.36331,False,False,False,False
,2,"Caulfield, Garen",0.0,1.0,Undefined,Sinker,Out,25.479566,-14.381635,326.62236,2.29577,-0.46867,InPlay,FlyBall,0.0,0.0,0.0,1.0,,140.0,0,0,0,,1.0,20240913-UArizona-Private-2,Right,88.50547,89.36522,False,False,False,False
1.0,1,"Caulfield, Garen",0.0,0.0,Undefined,Slider,Undefined,,,,2.15715,-0.22272,StrikeCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240914-UArizona-Private-1,Right,,81.93604,False,False,False,False
,2,"Caulfield, Garen",1.0,0.0,Undefined,Fastball,Undefined,20.121002,63.950752,236.6583,1.97086,0.50312,FoulBallNotFieldable,Undefined,,,,,,140.0,0,0,0,,0.0,20240914-UArizona-Private-1,Right,83.79811,95.05776,False,False,False,False
,3,"Caulfield, Garen",2.0,0.0,Strikeout,Slider,Undefined,,,,1.88485,-0.99276,StrikeSwinging,Undefined,0.0,0.0,0.0,1.0,1.0,140.0,0,0,0,1.0,0.0,20240914-UArizona-Private-1,Right,,84.66456,False,False,False,False
1.0,1,"Caulfield, Garen",0.0,0.0,Undefined,Fastball,Undefined,,,,1.23226,-0.46597,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240914-UArizona-Private-1,Right,,91.54902,False,False,False,False
,2,"Caulfield, Garen",0.0,1.0,Undefined,Fastball,Undefined,,,,1.63845,-1.74221,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240914-UArizona-Private-1,Right,,93.20949,False,False,False,False
,3,"Caulfield, Garen",0.0,2.0,Undefined,Fastball,Undefined,,,,3.81208,0.25157,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240914-UArizona-Private-1,Right,,92.70361,False,False,False,False
,4,"Caulfield, Garen",0.0,3.0,Walk,Fastball,Undefined,,,,1.58639,-0.92815,BallCalled,Undefined,,1.0,,,,140.0,0,0,0,,0.0,20240914-UArizona-Private-1,Right,,92.82976,False,False,False,False
