Count Type,Pitch Type,PA_Result_Type,PA_Result_Outcome,pitch_call,Angle,Direction,Distance,Location
0-0 Count,Curveball,Undefined,Undefined,StrikeCalled,nan,nan,nan,"(2.40854, 0.35897)"
0-0 Count,Slider,Undefined,Undefined,FoulBallNotFieldable,38.200174,71.170101,nan,"(2.67013, -0.10775)"
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,"(3.10314, -1.05275)"
0-0 Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan,"(2.15715, -0.22272)"
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,"(1.23226, -0.46597)"
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,"(1.03823, -1.08696)"
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,"(3.92558, -0.85027)"
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,"(2.21406, -2.41982)"
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,"(0.15311, -0.91278)"
0-0 Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan,"(1.0805, -0.36865)"
0-0 Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,46.457071,136.513516,nan,"(2.71457, -0.31698)"
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,"(4.06313, 0.5949)"
0-0 Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan,"(3.0632, 1.27958)"
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,"(0.67304, -0.99031)"
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,"(1.15258, 0.01942)"
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,"(1.91208, -1.37192)"
0-0 Count,ChangeUp,Undefined,Undefined,BallCalled,nan,nan,nan,"(-0.11519, -1.04516)"
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,"(1.08855, -2.40522)"
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,"(1.61833, -1.40048)"
0-0 Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,7.358149,165.821667,nan,"(2.76751, 0.18663)"
0-0 Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan,"(2.80339, 1.91744)"
0-0 Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan,"(1.08571, 0.13202)"
0-0 Count,Fastball,Single,LineDrive,InPlay,11.610955,10.427969,219.476,"(3.06867, -0.20889)"
0-0 Count,Slider,Undefined,Undefined,StrikeSwinging,nan,nan,nan,"(2.86499, -0.76484)"
0-0 Count,ChangeUp,Undefined,Undefined,BallCalled,nan,nan,nan,"(0.88671, -1.433)"
0-0 Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan,"(1.27323, -0.23427)"
0-0 Count,ChangeUp,Undefined,Undefined,BallCalled,nan,nan,nan,"(0.95819, -1.07456)"
0-0 Count,Sinker,Undefined,Undefined,HitByPitch,nan,nan,nan,"(4.0397, 1.97773)"
0-0 Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan,"(3.03771, -2.12385)"
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,"(1.57876, 0.63736)"
0-0 Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan,"(1.01184, -1.03382)"
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,"(0.42486, -2.00857)"
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,"(4.32906, 1.76597)"
0-0 Count,Curveball,Double,FlyBall,InPlay,25.842998,-0.749129,402.8061,"(2.11856, 0.15141)"
