PA,PitchofPA,Pitcher,Strikes,Balls,KorBB,TaggedPitchType,PlayResult,RunsScored,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ExitSpeed,RelSpeed,PreviousPitch,called_strike,ooz,Angle,Direction,Distance,PitchCall,TaggedHitType,k,bb,bbspin,pitches,zone,izswing,izmiss,AVG,OBP,SLG,swing,whiff,StadiumID,2B,3B,HR,chase,OutsOnPlay,GameID,BatterSide,PitcherThrows,PositionAt110X,PositionAt110Y,PositionAt110Z,is_single,is_double,is_triple,is_home_run,CountType,pitch_category
1.0,1,"Berg, Jack",0.0,0.0,Undefined,Sinker,Undefined,0.0,-1.009048,4.952183,1837.741659,302.733792,10:00,5.75661,-2.81624,4.98134,-23.68139,9.40792,-13.12497,2.82656,0.77847,,93.32017,,0,0,,,,BallCalled,Undefined,,,,1,1.0,,,,,,,,140.0,0,0,0,,0.0,20240913-UArizona-Private-2,Right,Left,,,,False,False,False,False,0-0 Count,2
,2,"Berg, Jack",0.0,1.0,Undefined,Sinker,Undefined,0.0,-1.092827,3.123616,1789.164084,309.056219,10:15,5.78729,-3.15271,4.47266,-22.98289,10.01457,-11.22544,2.82862,-1.10757,,93.90239,Sinker,0,1,,,,FoulBallNotFieldable,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240913-UArizona-Private-2,Right,Left,,,,False,False,False,False,Neutral Count,2
,3,"Berg, Jack",1.0,1.0,Undefined,ChangeUp,Undefined,0.0,-1.166747,3.509544,1493.758325,309.941658,10:15,5.62785,-2.95151,4.94973,-30.85584,9.88575,-10.37292,1.9518,-0.49546,,84.05456,Sinker,0,0,,,,StrikeSwinging,Undefined,,,,1,1.0,1.0,1.0,,,,1.0,1.0,140.0,0,0,0,,0.0,20240913-UArizona-Private-2,Right,Left,,,,False,False,False,False,Neutral Count,0
,4,"Berg, Jack",2.0,1.0,Strikeout,ChangeUp,Undefined,0.0,-0.700975,2.218828,1371.6081,287.468406,9:30,5.66646,-2.9401,5.03365,-34.86561,5.25114,-12.55784,2.09911,-1.89213,,84.92517,ChangeUp,0,1,,,,StrikeSwinging,Undefined,1.0,,,1,,,,0.0,0.0,0.0,1.0,1.0,140.0,0,0,0,1.0,0.0,20240913-UArizona-Private-2,Right,Left,,,,False,False,False,False,Pitcher's Count,0
1.0,1,"Berg, Jack",0.0,0.0,Undefined,Slider,Undefined,0.0,-0.993593,1.538267,2409.048403,62.962619,2:00,5.51809,-2.89392,4.67302,-39.30341,2.89713,3.54567,1.29869,-1.1371,,82.52094,,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240913-UArizona-Private-2,Right,Left,,,,False,False,False,False,0-0 Count,3
,2,"Berg, Jack",0.0,1.0,Undefined,Slider,Undefined,0.0,-1.743413,0.948128,2409.139153,,,5.72701,-2.7493,4.58879,,,,1.46635,-0.92939,,82.88032,Slider,1,1,,,,StrikeCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240913-UArizona-Private-2,Right,Left,,,,False,False,False,False,Neutral Count,3
,3,"Berg, Jack",0.0,1.0,Undefined,Sinker,Undefined,0.0,-1.055471,2.997094,1890.853044,295.354953,9:45,5.72115,-3.01193,4.78712,-25.10379,7.90937,-14.7208,2.62734,-1.39549,,93.44923,Slider,1,1,,,,StrikeCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240913-UArizona-Private-2,Right,Left,,,,False,False,False,False,Neutral Count,2
,4,"Berg, Jack",1.0,1.0,Undefined,Sinker,Single,0.0,-1.574725,3.891686,1783.767114,293.031043,9:45,5.70627,-3.2938,4.93695,-25.28564,7.11138,-14.60296,2.10695,-0.82677,95.61444,94.08488,Sinker,0,0,7.985525,19.140475,168.87207,InPlay,GroundBall,,,2290.25468,1,1.0,1.0,,1.0,1.0,1.0,1.0,,140.0,0,0,0,,0.0,20240913-UArizona-Private-2,Right,Left,101.58051,7.4556,42.20594,True,False,False,False,Neutral Count,2
1.0,1,"Berg, Jack",0.0,0.0,Undefined,ChangeUp,Undefined,0.0,-0.578922,0.989217,1311.125909,279.126146,9:15,5.71981,-3.12506,4.75033,-41.78451,2.87622,-10.0667,1.68861,-3.02567,,80.36414,,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240913-UArizona-Private-2,Right,Left,,,,False,False,False,False,0-0 Count,0
,2,"Berg, Jack",0.0,1.0,Undefined,Sinker,Out,0.0,-1.29515,3.846043,1676.988176,299.561401,10:00,5.74034,-3.11382,4.87053,-24.92801,7.96347,-12.39123,2.43441,-0.50135,99.63271,93.56986,ChangeUp,0,0,33.840765,16.599526,337.715,InPlay,FlyBall,,,4039.95954,1,1.0,1.0,,0.0,0.0,0.0,1.0,,140.0,0,0,0,,0.0,20240913-UArizona-Private-2,Right,Left,102.8646,68.47885,38.97259,False,False,False,False,Neutral Count,2
