PA,PitchofPA,Batter,TaggedPitchType,PlayResult,Angle,Direction,AdjustedDirection,Distance,PlateLocHeight,PlateLocSide,CountType,PitchCall,ExitSpeed,KorBB,PositionAt110X,PositionAt110Y,PositionAt110Z,PitcherThrows,TaggedHitType,ContactPositionX,ContactPositionY,ContactPositionZ,swing,whiff,RelSpeed
1.0,1,"Caulfield, Garen",Curveball,Undefined,,,,,2.40854,0.35897,0-0 Count,StrikeCalled,,Undefined,,,,Right,Undefined,,,,,,80.14428
,2,"Caulfield, Garen",Fastball,Undefined,,,,,1.25844,-0.16313,Neutral Count,StrikeCalled,,Undefined,,,,Right,Undefined,,,,,,89.46216
,3,"Caulfield, Garen",Curveball,Out,-18.385955,-21.31345,21.31345,5.33365,1.18312,-0.17887,Pitcher's Count,InPlay,82.1617,Undefined,,,,Right,GroundBall,1.72548,1.23981,0.17113,1.0,,81.69383
1.0,1,"Caulfield, Garen",Slider,Undefined,38.200174,71.170101,-71.170101,,2.67013,-0.10775,0-0 Count,FoulBallNotFieldable,85.76832,Undefined,,,,Right,Undefined,0.66874,2.81008,-0.10422,,,83.50085
,2,"Caulfield, Garen",Fastball,Undefined,,,,,2.0257,-0.2498,Neutral Count,StrikeCalled,,Undefined,,,,Right,Undefined,,,,,,88.64983
,3,"Caulfield, Garen",Slider,Out,,,,,1.33677,-1.17234,Pitcher's Count,InPlay,,Undefined,,,,Right,GroundBall,,,,1.0,,83.5932
1.0,1,"Caulfield, Garen",Slider,Undefined,,,,,3.10314,-1.05275,0-0 Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,80.36331
,2,"Caulfield, Garen",Sinker,Out,25.479566,-14.381635,14.381635,326.62236,2.29577,-0.46867,Neutral Count,InPlay,88.50547,Undefined,107.02692,45.05942,-25.40033,Right,FlyBall,2.28707,2.11505,0.45962,1.0,,89.36522
1.0,1,"Caulfield, Garen",Slider,Undefined,,,,,2.15715,-0.22272,0-0 Count,StrikeCalled,,Undefined,,,,Right,Undefined,,,,,,81.93604
,2,"Caulfield, Garen",Fastball,Undefined,20.121002,63.950752,-63.950752,236.6583,1.97086,0.50312,Neutral Count,FoulBallNotFieldable,83.79811,Undefined,41.34346,29.19548,101.93474,Right,Undefined,0.78778,1.85484,-1.07403,,,95.05776
,3,"Caulfield, Garen",Slider,Undefined,,,,,1.88485,-0.99276,Pitcher's Count,StrikeSwinging,,Strikeout,,,,Right,Undefined,,,,1.0,1.0,84.66456
1.0,1,"Caulfield, Garen",Fastball,Undefined,,,,,1.23226,-0.46597,0-0 Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,91.54902
,2,"Caulfield, Garen",Fastball,Undefined,,,,,1.63845,-1.74221,Neutral Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,93.20949
,3,"Caulfield, Garen",Fastball,Undefined,,,,,3.81208,0.25157,Hitter's Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,92.70361
,4,"Caulfield, Garen",Fastball,Undefined,,,,,1.58639,-0.92815,Hitter's Count,BallCalled,,Walk,,,,Right,Undefined,,,,,,92.82976
1.0,1,"Caulfield, Garen",Slider,Undefined,,,,,1.03823,-1.08696,0-0 Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,80.71047
,2,"Caulfield, Garen",Fastball,Undefined,,,,,1.36699,-0.91048,Neutral Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,93.95312
,3,"Caulfield, Garen",Fastball,Undefined,,,,,2.67621,0.54732,Hitter's Count,StrikeCalled,,Undefined,,,,Right,Undefined,,,,,,92.63284
,4,"Caulfield, Garen",Fastball,Single,6.41766,7.086193,-7.086193,136.40016,2.36602,0.42448,Hitter's Count,InPlay,98.96076,Undefined,,,,Right,GroundBall,1.40117,1.92662,-0.53116,1.0,,92.29352
1.0,1,"Caulfield, Garen",Fastball,Undefined,,,,,3.92558,-0.85027,0-0 Count,BallCalled,,Undefined,,,,Left,Undefined,,,,,,87.4801
,2,"Caulfield, Garen",Slider,Undefined,,,,,3.46995,-0.70266,Neutral Count,BallCalled,,Undefined,,,,Left,Undefined,,,,,,78.55403
,3,"Caulfield, Garen",Fastball,Undefined,62.872808,77.71044,-77.71044,,1.60285,0.3146,Hitter's Count,FoulBallNotFieldable,70.93954,Undefined,,,,Left,Undefined,2.90749,1.7821,-0.25311,,,87.42232
,4,"Caulfield, Garen",Slider,Undefined,,,,,3.00158,0.27553,Hitter's Count,StrikeCalled,,Undefined,,,,Left,Undefined,,,,,,80.24727
,5,"Caulfield, Garen",ChangeUp,Undefined,37.149886,61.431252,-61.431252,217.12255,2.11449,0.50664,Pitcher's Count,FoulBallNotFieldable,68.33283,Undefined,42.49336,52.51745,101.46083,Left,Undefined,1.08595,2.26846,-0.45659,,,80.77855
,6,"Caulfield, Garen",Fastball,Undefined,,,,,2.46125,0.5204,Pitcher's Count,FoulBallNotFieldable,,Undefined,,,,Left,Undefined,,,,,,88.56363
,7,"Caulfield, Garen",Slider,Undefined,38.722631,165.27103,-165.27103,,2.237,-0.3177,Pitcher's Count,FoulBallNotFieldable,63.42283,Undefined,,,,Left,Undefined,1.62072,2.46185,0.37363,,,81.11702
,8,"Caulfield, Garen",Fastball,HomeRun,26.906398,2.192136,-2.192136,427.63012,2.8528,-0.22635,Pitcher's Count,InPlay,104.23575,Undefined,109.77109,54.17481,7.09223,Left,FlyBall,1.59966,2.91313,0.22705,1.0,,87.99468
1.0,1,"Caulfield, Garen",Slider,Undefined,,,,,2.21406,-2.41982,0-0 Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,85.92587
,2,"Caulfield, Garen",Fastball,Undefined,,,,,3.72111,-0.55872,Neutral Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,89.37963
,3,"Caulfield, Garen",ChangeUp,Undefined,,,,,6.14162,1.99944,Hitter's Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,85.04684
,4,"Caulfield, Garen",Fastball,Undefined,,,,,1.71625,-0.92581,Hitter's Count,StrikeCalled,,Undefined,,,,Right,Undefined,,,,,,90.34101
,5,"Caulfield, Garen",Fastball,Undefined,,,,,0.85362,-1.58232,Hitter's Count,BallCalled,,Walk,,,,Right,Undefined,,,,,,91.25686
1.0,1,"Caulfield, Garen",Slider,Undefined,,,,,0.15311,-0.91278,0-0 Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,82.70934
,2,"Caulfield, Garen",Fastball,Undefined,,,,,2.47915,-0.34786,Neutral Count,FoulBallNotFieldable,,Undefined,,,,Right,Undefined,,,,,,90.49734
,3,"Caulfield, Garen",Fastball,Undefined,,,,,3.6719,1.06299,Neutral Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,89.80534
,4,"Caulfield, Garen",Slider,Undefined,,,,,2.29927,0.90363,Hitter's Count,FoulBallNotFieldable,,Undefined,,,,Right,Undefined,,,,,,82.4149
,5,"Caulfield, Garen",Fastball,Undefined,,,,,2.80933,-1.26695,Pitcher's Count,StrikeCalled,,Strikeout,,,,Right,Undefined,,,,,,90.92572
1.0,1,"Caulfield, Garen",Curveball,Undefined,,,,,1.0805,-0.36865,0-0 Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,76.31127
,2,"Caulfield, Garen",Curveball,Undefined,,,,,2.1575,1.40032,Neutral Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,75.3855
,3,"Caulfield, Garen",Fastball,Undefined,,,,,2.09603,-1.76395,Hitter's Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,88.22975
,4,"Caulfield, Garen",Fastball,Undefined,,,,,4.15014,0.9676,Hitter's Count,BallCalled,,Walk,,,,Right,Undefined,,,,,,87.15416
